Кратчайший путь: 1 7 5 6 2 8 3 4 9 10 1 
Его длина 30,48
Всего гамильтоновых путей: 31224
1 2 3 4 6 8 9 10 5 7 1 | 107,73
1 2 3 4 6 9 8 10 5 7 1 | 107,73
1 2 3 4 6 9 10 8 5 7 1 | 107,73
1 2 3 4 6 10 9 8 5 7 1 | 107,73
1 2 3 4 7 5 6 8 9 10 1 | 120,01
1 2 3 4 7 5 6 8 10 9 1 | 164,33
1 2 3 4 7 5 6 9 8 10 1 | 120,01
1 2 3 4 7 5 6 9 10 8 1 | 168,82
1 2 3 4 7 5 6 10 8 9 1 | 164,33
1 2 3 4 7 5 6 10 9 8 1 | 168,82
1 2 3 4 7 5 8 6 9 10 1 | 120,01
1 2 3 4 7 5 8 6 10 9 1 | 164,33
1 2 3 4 7 5 8 9 6 10 1 | 120,01
1 2 3 4 7 5 8 9 10 6 1 | 157,97
1 2 3 4 7 5 8 10 6 9 1 | 164,33
1 2 3 4 7 5 8 10 9 6 1 | 157,97
1 2 3 4 7 5 10 6 8 9 1 | 164,33
1 2 3 4 7 5 10 6 9 8 1 | 168,82
1 2 3 4 7 5 10 8 6 9 1 | 164,33
1 2 3 4 7 5 10 8 9 6 1 | 157,97
1 2 3 4 7 5 10 9 6 8 1 | 168,82
1 2 3 4 7 5 10 9 8 6 1 | 157,97
1 2 3 4 8 6 9 10 5 7 1 | 107,73
1 2 3 4 8 9 6 10 5 7 1 | 107,73
1 2 3 4 8 9 10 6 5 7 1 | 107,73
1 2 3 4 8 10 9 6 5 7 1 | 107,73
1 2 3 4 9 6 8 10 5 7 1 | 107,73
1 2 3 4 9 6 10 8 5 7 1 | 107,73
1 2 3 4 9 8 6 10 5 7 1 | 107,73
1 2 3 4 9 8 10 6 5 7 1 | 107,73
1 2 3 4 9 10 6 8 5 7 1 | 107,73
1 2 3 4 9 10 8 6 5 7 1 | 107,73
1 2 3 4 10 6 9 8 5 7 1 | 107,73
1 2 3 4 10 8 9 6 5 7 1 | 107,73
1 2 3 4 10 9 6 8 5 7 1 | 107,73
1 2 3 4 10 9 8 6 5 7 1 | 107,73
1 2 3 5 6 8 9 10 4 7 1 | 165,63
1 2 3 5 6 8 10 9 4 7 1 | 165,63
1 2 3 5 6 9 8 10 4 7 1 | 165,63
1 2 3 5 6 9 10 8 4 7 1 | 165,63
1 2 3 5 6 10 8 9 4 7 1 | 165,63
1 2 3 5 6 10 9 8 4 7 1 | 165,63
1 2 3 5 7 4 6 8 9 10 1 | 145,15
1 2 3 5 7 4 6 8 10 9 1 | 189,47
1 2 3 5 7 4 6 9 8 10 1 | 145,15
1 2 3 5 7 4 6 9 10 8 1 | 193,96
1 2 3 5 7 4 6 10 8 9 1 | 189,47
1 2 3 5 7 4 6 10 9 8 1 | 193,96
1 2 3 5 7 4 8 6 9 10 1 | 145,15
1 2 3 5 7 4 8 6 10 9 1 | 189,47
1 2 3 5 7 4 8 9 6 10 1 | 145,15
1 2 3 5 7 4 8 9 10 6 1 | 183,11
1 2 3 5 7 4 8 10 6 9 1 | 189,47
1 2 3 5 7 4 8 10 9 6 1 | 183,11
1 2 3 5 7 4 9 6 8 10 1 | 145,15
1 2 3 5 7 4 9 6 10 8 1 | 193,96
1 2 3 5 7 4 9 8 6 10 1 | 145,15
1 2 3 5 7 4 9 8 10 6 1 | 183,11
1 2 3 5 7 4 9 10 6 8 1 | 193,96
1 2 3 5 7 4 9 10 8 6 1 | 183,11
1 2 3 5 7 4 10 6 8 9 1 | 189,47
1 2 3 5 7 4 10 6 9 8 1 | 193,96
1 2 3 5 7 4 10 8 6 9 1 | 189,47
1 2 3 5 7 4 10 8 9 6 1 | 183,11
1 2 3 5 7 4 10 9 6 8 1 | 193,96
1 2 3 5 7 4 10 9 8 6 1 | 183,11
1 2 3 5 8 6 9 10 4 7 1 | 165,63
1 2 3 5 8 6 10 9 4 7 1 | 165,63
1 2 3 5 8 9 6 10 4 7 1 | 165,63
1 2 3 5 8 9 10 6 4 7 1 | 165,63
