Кратчайший путь: 1 7 5 6 2 8 3 4 9 10 1 
Его длина 30,48
Всего гамильтоновых путей: 31224
1 2 3 4 6 5 7 8 10 9 1 | 139,69
1 2 3 4 6 5 7 9 8 10 1 | 188,67
1 2 3 4 6 5 7 9 10 8 1 | 139,69
1 2 3 4 6 5 7 10 8 9 1 | 139,69
1 2 3 4 6 5 7 10 9 8 1 | 139,69
1 2 3 4 6 5 8 7 9 10 1 | 224,6
1 2 3 4 6 5 8 7 10 9 1 | 175,62
1 2 3 4 6 5 8 9 7 10 1 | 224,6
1 2 3 4 6 5 8 9 10 7 1 | 203,64
1 2 3 4 6 5 8 10 7 9 1 | 175,62
1 2 3 4 6 5 8 10 9 7 1 | 203,64
1 2 3 4 6 5 9 7 8 10 1 | 214,44
1 2 3 4 6 5 9 7 10 8 1 | 165,46
1 2 3 4 6 5 9 8 7 10 1 | 214,44
1 2 3 4 6 5 9 8 10 7 1 | 193,48
1 2 3 4 6 5 9 10 7 8 1 | 165,46
1 2 3 4 6 5 9 10 8 7 1 | 193,48
1 2 3 4 6 5 10 7 8 9 1 | 139,69
1 2 3 4 6 5 10 7 9 8 1 | 139,69
1 2 3 4 6 5 10 8 7 9 1 | 139,69
1 2 3 4 6 5 10 8 9 7 1 | 167,71
1 2 3 4 6 5 10 9 7 8 1 | 139,69
1 2 3 4 6 5 10 9 8 7 1 | 167,71
1 2 3 4 6 7 5 8 9 10 1 | 224,6
1 2 3 4 6 7 5 8 10 9 1 | 175,62
1 2 3 4 6 7 5 9 8 10 1 | 214,44
1 2 3 4 6 7 5 9 10 8 1 | 165,46
1 2 3 4 6 7 5 10 8 9 1 | 139,69
1 2 3 4 6 7 5 10 9 8 1 | 139,69
1 2 3 4 6 7 8 5 9 10 1 | 250,37
1 2 3 4 6 7 8 5 10 9 1 | 175,62
1 2 3 4 6 7 8 9 5 10 1 | 214,44
1 2 3 4 6 7 8 9 10 5 1 | 187,56
1 2 3 4 6 7 8 10 5 9 1 | 165,46
1 2 3 4 6 7 8 10 9 5 1 | 213,33
1 2 3 4 6 7 9 5 8 10 1 | 250,37
1 2 3 4 6 7 9 5 10 8 1 | 165,46
1 2 3 4 6 7 9 8 5 10 1 | 224,6
1 2 3 4 6 7 9 8 10 5 1 | 187,56
1 2 3 4 6 7 9 10 5 8 1 | 175,62
1 2 3 4 6 7 9 10 8 5 1 | 223,49
1 2 3 4 6 7 10 5 8 9 1 | 175,62
1 2 3 4 6 7 10 5 9 8 1 | 165,46
1 2 3 4 6 7 10 8 5 9 1 | 201,39
1 2 3 4 6 7 10 8 9 5 1 | 213,33
1 2 3 4 6 7 10 9 5 8 1 | 201,39
1 2 3 4 6 7 10 9 8 5 1 | 223,49
1 2 3 4 6 8 5 7 9 10 1 | 224,6
1 2 3 4 6 8 5 7 10 9 1 | 175,62
